movieid,popularity,recFrequency
173,1,1.0998439937597504
8368,12,2.3322932917316694
8370,1,0.40561622464898595
8371,1,0.8034321372854915
181,2,0.16380655226209048
8376,3,1.5990639625585024
84152,5,0.7254290171606864
6333,8,2.4024960998439937
193,1,0.6474258970358815
196,1,0.9204368174726989
2253,1,0.41341653666146644
6350,3,0.7722308892355695
208,2,1.9266770670826832
4306,25,3.954758190327613
4308,17,1.8252730109204367
69844,1,1.0530421216848673
4310,5,1.3650546021840873
215,3,0.9516380655226209
53464,1,0.6162246489859594
216,3,0.8892355694227769
2268,3,1.4508580343213728
6365,11,2.9719188767550704
223,7,2.0280811232449296
59615,3,1.3338533541341655
4326,1,0.592823712948518
2278,1,1.0140405616224648
231,8,2.574102964118565
6377,13,3.517940717628705
6378,1,1.7706708268330735
235,3,1.2402496099843994
33004,2,1.606864274570983
6383,1,0.6708268330733229
2288,2,1.0530421216848673
6385,1,0.8112324492979719
2289,3,0.6396255850234009
2291,29,2.8237129485179406
4340,3,0.296411856474259
246,1,0.41341653666146644
247,1,0.592823712948518
253,3,1.8642745709828392
2301,3,0.483619344773791
2303,1,0.1794071762870515
260,76,4.0639625585023404
2313,2,0.6006240249609984
39183,2,1.4664586583463337
4368,1,0.3042121684867395
2321,5,1.630265210608424
4369,1,1.1778471138845554
4370,2,1.9032761310452417
2324,23,1.9032761310452417
2329,89,2.8627145085803436
2334,1,0.374414976599064
2335,3,0.8580343213728548
288,2,1.5132605304212168
2338,1,0.5304212168486739
4388,2,0.7722308892355695
293,56,2.6911076443057724
296,86,4.641185647425897
2352,1,0.4914196567862714
76093,5,1.1622464898595943
316,4,1.8642745709828392
318,145,4.2433697347893915
2366,2,0.6318252730109204
57669,1,1.1778471138845554
329,2,1.0374414976599065
2378,1,0.7878315132605305
72011,1,1.1778471138845554
2379,3,0.514820592823713
2380,2,0.343213728549142
2381,3,0.32761310452418096
2382,8,0.3822152886115444
2383,6,0.296411856474259
337,1,1.3260530421216847
2389,2,0.31201248049922
8533,3,0.8814352574102964
342,2,0.6396255850234009
344,10,2.9407176287051486
2394,2,0.6552262090483619
2395,10,1.4274570982839312
4447,1,1.630265210608424
353,1,1.4430577223088923
2403,2,0.7566302652106084
356,80,4.711388455538222
2404,3,0.46801872074883
357,3,1.7082683307332294
6502,7,2.1138845553822154
6503,1,0.8190327613104524
2409,1,0.717628705148206
2410,3,0.6786271450858035
2411,3,0.6942277691107644
2412,11,0.5070202808112324
364,22,3.0655226209048365
367,8,2.800312012480499
370,4,1.1622464898595943
2420,1,1.3026521060842433
2421,3,0.7098283931357254
374,2,0.608424336973479
2423,4,0.608424336973479
2424,5,1.3650546021840873
377,9,2.8393135725429017
49530,7,1.5678627145085802
379,1,0.5070202808112324
39292,2,1.138845553822153
2428,1,0.5616224648985959
380,2,2.488299531981279
6534,3,1.0842433697347893
104841,2,0.8502340093603744
393,2,0.31201248049922
6539,32,3.9313572542901714
33166,20,1.8330733229329175
